id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_online_requests,access_online_requests,model_online_requests,base.group_user,1,1,1,1
access_patient_messaging,access_patient_messaging,model_patient_messaging,base.group_user,1,1,1,1
access_messaging_history,access_messaging_history,model_messaging_history,base.group_user,1,1,1,1

access_pe_setting,access_pe_setting,model_pe_setting,base.group_user,1,1,1,1
access_pe_setting_provider,access_pe_setting_provider,model_pe_setting_provider,base.group_user,1,1,1,1
access_pe_setting_services,access_pe_setting_services,model_pe_setting_services,base.group_user,1,1,1,1
access_pe_setting_chat_schedule,access_pe_setting_chat_schedule,model_pe_setting_chat_schedule,base.group_user,1,1,1,1
access_pe_setting_chat_quick_response,access_pe_setting_chat_quick_response,model_pe_setting_chat_quick_response,base.group_user,1,1,1,1
access_pe_setting_form,access_pe_setting_form,model_pe_setting_form,base.group_user,1,1,1,1
access_pe_setting_form_selection,access_pe_setting_form_selection,model_pe_setting_form_selection,base.group_user,1,1,1,1
access_pe_setting_form_selection_fields,access_pe_setting_form_selection_fields,model_pe_setting_form_selection_fields,base.group_user,1,1,1,1

access_online_adjustment,access_online_adjustment,model_online_adjustment,base.group_user,1,1,1,1

access_contact_patient_wizard,access_contact_patient_wizard,model_contact_patient_wizard,base.group_user,1,1,1,1

access_logs_log,access_logs_log,model_logs_log,base.group_user,1,1,1,1
